key,value,date
Europe,99618,1820
Europe,422853,1830
Europe,1369423,1840
Europe,2622617,1850
Europe,1880389,1860
Europe,2252050,1870
Europe,4638684,1880
Europe,3576411,1890
Europe,7572569,1900
Europe,4985411,1910
Europe,2560340,1920
Europe,444404,1930
Europe,472524,1940
Europe,1404973,1950
Europe,1133443,1960
Europe,826327,1970
Europe,669694,1980
Europe,1349219,1990
Europe,1349609,2000
Asia,34,1820
Asia,55,1830
Asia,121,1840
Asia,36080,1850
Asia,54408,1860
Asia,134071,1870
Asia,71152,1880
Asia,61304,1890
Asia,300441,1900
Asia,269736,1910
Asia,126740,1920
Asia,19292,1930
Asia,34532,1940
Asia,135844,1950
Asia,358563,1960
Asia,1406526,1970
Asia,2391356,1980
Asia,2859899,1990
Asia,3470835,2000
North America,9656,1820
North America,31911,1830
North America,50527,1840
North America,84201,1850
North America,130427,1860
North America,345889,1870
North America,529845,1880
North America,38756,1890
North America,277882,1900
North America,1070539,1910
North America,1591278,1920
North America,230319,1930
North America,328435,1940
North America,921644,1950
North America,1674185,1960
North America,1903636,1970
North America,2694504,1980
North America,5137142,1990
North America,4441529,2000
Central America,57,1820
Central America,94,1830
Central America,297,1840
Central America,512,1850
Central America,70,1860
Central America,202,1870
Central America,359,1880
Central America,674,1890
Central America,7341,1900
Central America,15692,1910
Central America,16511,1920
Central America,6840,1930
Central America,20135,1940
Central America,40201,1950
Central America,98569,1960
Central America,120376,1970
Central America,339376,1980
Central America,610189,1990
Central America,591130,2000
South America,405,1820
South America,957,1830
South America,1062,1840
South America,3569,1850
South America,1536,1860
South America,1109,1870
South America,1954,1880
South America,1389,1890
South America,15253,1900
South America,39938,1910
South America,43025,1920
South America,9990,1930
South America,19662,1940
South America,78418,1950
South America,250754,1960
South America,273529,1970
South America,399803,1980
South America,570596,1990
South America,856508,2000
Africa,19,1820
Africa,66,1830
Africa,67,1840
Africa,104,1850
Africa,458,1860
Africa,441,1870
Africa,768,1880
Africa,432,1890
Africa,6326,1900
Africa,8867,1910
Africa,6362,1920
Africa,2120,1930
Africa,6720,1940
Africa,13016,1950
Africa,23780,1960
Africa,71405,1970
Africa,141987,1980
Africa,346410,1990
Africa,759734,2000
Oceania,2,1820
Oceania,1,1830
Oceania,3,1840
Oceania,110,1850
Oceania,107,1860
Oceania,9094,1870
Oceania,7341,1880
Oceania,3279,1890
Oceania,11677,1900
Oceania,12339,1910
Oceania,9860,1920
Oceania,3240,1930
Oceania,14262,1940
Oceania,11319,1950
Oceania,23659,1960
Oceania,39983,1970
Oceania,41432,1980
Oceania,56800,1990
Oceania,65793,2000
Not Specified,19173,1820
Not Specified,83495,1830
Not Specified,7196,1840
Not Specified,71442,1850
Not Specified,15472,1860
Not Specified,592,1870
Not Specified,778,1880
Not Specified,14112,1890
Not Specified,33493,1900
Not Specified,488,1910
Not Specified,930,1920
Not Specified,0,1930
Not Specified,135,1940
Not Specified,12472,1950
Not Specified,119,1960
Not Specified,326,1970
Not Specified,305406,1980
Not Specified,25928,1990
Not Specified,211930,2000
